🕘️更新时间,#genre#
CCTV9,http://113.65.124.202:9527/rtp/239.77.1.160:5146
CCTV9,http://14.118.74.55:10001/rtp/239.77.1.160:5146
CCTV9,http://113.65.124.202:9530/rtp/239.77.0.135:5146
CCTV9,http://113.65.124.202:9527/rtp/239.77.0.135:5146
CCTV9,http://183.44.113.165:2222/rtp/239.77.0.135:5146
CCTV9,http://60.4.29.183:8077/rtp/239.253.92.107:6020
CCTV10,http://113.65.124.202:9530/rtp/239.77.1.113:5146
CCTV10,http://113.65.124.202:9527/rtp/239.77.1.113:5146
CCTV10,http://183.44.113.165:2222/rtp/239.77.1.113:5146
CCTV10,http://183.44.113.165:2222/rtp/239.77.0.134:5146
CCTV11,http://144.255.16.170:6688/udp/239.21.2.2:5002
CCTV11,http://183.44.113.165:2222/rtp/239.77.1.108:5146
CCTV11,http://183.44.113.165:2222/rtp/239.77.1.238:5146
CCTV11,http://113.119.24.176:58888/udp/239.77.1.238:5146
CCTV11,http://60.4.29.183:8077/rtp/239.253.93.153:6321
CCTV11,http://116.9.34.226:4000/udp/239.81.0.229:4056
CCTV12,http://113.65.124.202:9530/rtp/239.77.1.109:5146
CCTV12,http://183.44.113.165:2222/rtp/239.77.1.109:5146
CCTV12,http://113.65.124.202:9527/rtp/239.77.0.136:5146
CCTV12,http://60.4.29.183:8077/rtp/239.253.92.197:6062
CCTV12,http://183.44.113.165:2222/rtp/239.77.0.136:5146
CCTV13,http://113.65.124.202:9527/rtp/239.253.43.196:5146
CCTV13,http://113.65.124.202:9530/rtp/239.253.43.196:5146
CCTV13,http://183.44.113.165:2222/rtp/239.253.43.196:5146
CCTV13,http://60.4.29.183:8077/rtp/239.253.92.13:8008
CCTV13,http://183.44.113.165:2222/rtp/239.77.0.188:5146
CCTV13,http://113.65.124.202:9530/rtp/239.77.0.188:5146
CCTV13,http://144.255.16.170:6688/udp/239.21.2.3:5002
CCTV13,http://219.156.87.51:4022/rtp/225.1.4.113:1293
CCTV13,http://106.116.127.10:4022/rtp/239.254.200.9:8264
CCTV14,http://183.44.113.165:2222/rtp/239.77.1.161:5146
CCTV14,http://183.44.113.165:2222/rtp/239.77.0.133:5146
CCTV14,http://144.255.16.170:6688/udp/239.21.1.157:5002
CCTV14,http://116.9.34.226:4000/udp/239.81.0.120:4056
CCTV14,http://60.4.29.183:8077/rtp/239.253.92.198:6063
CCTV14,http://14.118.74.55:10001/rtp/239.77.0.133:5146
CCTV15,http://60.4.29.183:8077/rtp/239.253.93.154:6322
CCTV15,http://183.44.113.165:2222/rtp/239.77.1.120:5146
CCTV15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV15,http://183.44.113.165:2222/rtp/239.77.1.239:5146
CCTV15,http://14.118.74.55:10001/rtp/239.77.1.239:5146
CCTV15,http://113.65.124.202:9530/rtp/239.77.1.239:5146
CCTV16,http://113.65.124.202:9530/rtp/239.77.0.165:5146
CCTV16,http://113.119.24.176:58888/udp/239.77.0.165:5146
CCTV16,http://183.44.113.165:2222/rtp/239.77.0.165:5146
CCTV16,http://113.65.124.202:9527/rtp/239.77.0.165:5146
CCTV16,http://14.118.74.55:10001/rtp/239.77.0.165:5146
CCTV16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV16,http://116.2.164.201:4010/rtp/232.0.0.182:1234
CCTV16,http://221.220.135.194:8012/rtp/239.3.1.184:8001
CCTV16,http://114.254.83.60:8888/rtp/239.3.1.184:8001
CCTV16,http://111.196.132.166:20000/rtp/239.3.1.184:8001
CCTV17,http://113.65.124.202:9527/rtp/239.77.0.198:5146
CCTV17,http://14.118.74.55:10001/rtp/239.77.0.198:5146
CCTV17,http://183.44.113.165:2222/rtp/239.77.0.198:5146
CCTV17,http://113.65.124.202:9530/rtp/239.77.1.121:5146
CCTV17,http://113.65.124.202:9530/rtp/239.77.0.198:5146
CCTV17,http://183.44.113.165:2222/rtp/239.77.1.121:5146
CCTV17,http://144.255.16.170:6688/udp/239.21.1.186:5002
CCTV17,http://219.156.87.51:4022/rtp/225.1.4.226:2506
CCTV17,http://114.254.83.60:8888/rtp/239.3.1.151:8144
CCTV4K,http://113.65.124.202:9527/rtp/239.77.0.194:5146
CCTV4K,http://183.44.113.165:2222/rtp/239.77.1.180:5146
CCTV4K,http://183.44.113.165:2222/rtp/239.77.0.194:5146
CCTV4K,http://113.119.24.176:58888/udp/239.77.0.194:5146
CCTV4K,http://14.118.74.55:10001/rtp/239.77.0.194:5146
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV4K,http://14.118.74.55:10001/rtp/239.77.1.180:5146
CETV1,http://183.44.113.165:2222/rtp/239.77.1.222:5146
CETV1,http://113.119.24.176:58888/udp/239.77.1.222:5146
CETV1,http://183.44.113.165:2222/rtp/239.77.0.200:5146
CETV1,http://113.65.124.202:9527/rtp/239.77.0.200:5146
CETV1,http://113.65.124.202:9530/rtp/239.77.0.200:5146
CETV1,http://14.118.74.55:10001/rtp/239.77.0.200:5146
CETV1,http://14.118.74.55:10001/rtp/239.77.1.222:5146
CETV1,http://171.8.171.176:8800/rtp/239.16.20.78:10780
CETV1,http://219.156.87.51:4022/rtp/225.1.4.173:1712
CETV4,http://183.44.113.165:2222/rtp/239.253.43.40:5146
CETV4,http://39.77.94.75:4002/rtp/239.253.254.116:8000
CETV4,http://183.44.113.165:2222/rtp/239.253.43.114:5146
CETV4,http://219.156.87.51:4022/rtp/225.1.4.171:1710
CETV4,http://60.4.29.183:8077/rtp/239.253.92.200:6137
CETV4,http://113.65.124.202:9530/rtp/239.253.43.40:5146
CETV4,http://14.118.74.55:10001/rtp/239.253.43.114:5146
CETV4,http://14.118.74.55:10001/rtp/239.253.43.40:5146
CETV4,http://113.119.24.176:58888/udp/239.253.43.40:5146
CGTN,http://113.65.124.202:9527/rtp/239.77.0.199:5146
CGTN,http://14.118.74.55:10001/rtp/239.77.0.199:5146
CGTN,http://183.44.113.165:2222/rtp/239.77.0.199:5146
CGTN,http://182.138.203.158:8188/rtp/239.94.0.40:5140
CGTN,http://182.138.203.158:8188/rtp/239.94.0.22:5140
CGTN阿语,http://113.65.124.202:9530/rtp/239.253.43.200:5146
CGTN阿语,http://113.65.124.202:9527/rtp/239.253.43.200:5146
CGTN阿语,http://183.44.113.165:2222/rtp/239.253.43.200:5146
CGTN阿语,http://14.118.74.55:10001/rtp/239.253.43.200:5146
CGTN俄语,http://113.65.124.202:9530/rtp/239.253.43.201:5146
